Zone,Lat,Long,ForestLossPct,DistanceToForest,UrbanGrowth,LanduseChange,ForestLat,ForestLon,ForestName,Temp_Mine,Temp_Forest,NO2_Mine,NO2_Forest
Lohardaga_Bauxite_Mines,23.433333,84.683333,0.0,0.0,-0.0001505653909438,0.2718769056051455,23.86700545675957,84.63525862677656,"Herhanj, Latehar, Jharkhand, India",,,7.6e-05,7.9e-05
Kolar_Gold_Fields,12.961943626403809,78.271111,0.1818181818181818,0.0004067867063471,-0.0062904701411766,0.4842847854681406,13.195773111432432,78.25343230512783,"Pombarahalli, Mulubagilu taluk, Kolar, Karnataka, India",,,6.1e-05,5.9e-05
Kudremukh_iron_ore_mines,13.31666660308838,75.766667,0.3889047563044975,0.0152023924201021,-0.0054324766805822,0.620280673473759,13.729429950879153,75.60765040138514,"Bairapura, Narasimharajapura taluk, Chikkamagaluru, Karnataka, India",,,5.8e-05,5.5e-05
Donimalai_Iron_ore_mines,15.058889389038086,76.593611,0.0,0.0308857862703432,0.0101752555266709,0.9028452334616878,15.183271620325652,76.4664794912394,"Jaisingapura, Sanduru taluk, Ballari, Karnataka, India",,,8.9e-05,0.000109
Panna_Diamond_Mine,24.266667,80.166667,,0.0016504265710017,0.0168033672848685,0.2885741322406566,24.679347640757783,80.15824537277504,"Manki, Katriya, Panna Tahsil, Panna, Madhya Pradesh, India",,,7.6e-05,7.4e-05
Malajkhand_Copper_Mine,22.001388549804688,80.709167,0.0170397594386902,0.1066190432670806,-0.0155154586668855,0.5642158822159827,22.431795593936226,80.65797429017724,"Urdali, Bichhya Tahsil, Mandla, Madhya Pradesh, India",,,6.9e-05,6.8e-05
Balaghat_Manganese_Mine,21.96666717529297,80.333333,0.0,3.427101747672891,-4.137417510463026e-06,0.0105805256684225,22.340364667056512,80.40403531813153,"Nainpur Tahsil, Mandla, Madhya Pradesh, India",,,6.8e-05,6.9e-05
Singrauli_Coalfield,24.20194435119629,82.666111,0.0,0.0,0.1431997641496088,1.1420185059520953,24.54969558870705,82.82953436022115,"Robertsganj, Sonbhadra, Uttar Pradesh, India",,,0.00023,0.0001
Satna_Limestone_Mines,23.38333320617676,79.743889,0.0,0.0063568889288794,-0.004875617287975,0.1785601604198612,23.780776482325287,79.84587990681115,"Bahoriband Tahsil, Katni, Madhya Pradesh, 483330, India",,,7.2e-05,7.3e-05
Bhandara_Manganese_Belt,8.077221870422363,77.532222,0.0,0.0602770270116798,-0.0019324687324314,0.1941247063865843,8.451856987264218,77.33283471549097,"Thachamalai, Thiruvattar, Kalkulam, Kanniyakumari, Tamil Nadu, India",,,4.9e-05,4.9e-05
Chandrapur_Coal_Mines,19.950000762939453,79.296944,,2.905619331051229e-05,0.0262929350444236,0.3785636871533915,20.39483445246874,79.26285709284465,"Warora Taluka, Chandrapur, Maharashtra, India",,,0.000185,8.3e-05
Keonjhar_Iron_Ore_Belt,21.633056,85.5999984741211,0.0,0.0003206436391207,-0.0040397147294681,0.722429013404017,22.04958434222599,85.43523420972069,"Barbil, Kendujhar, Odisha, 758035, India",,,8.2e-05,9.5e-05
Sukinda_Chromite_Valley,20.96666717529297,85.916667,0.0,0.000137193718442,0.0049087945769787,0.6754445942392564,21.314389758053945,86.18785968353363,"Mahuldiha, Mayurbhanj, Odisha, India",,,0.000106,8e-05
Koraput_Bauxite_Mines,18.808333,82.708333,0.0,0.0378324334776369,-0.0075161767756775,0.6279100796705772,19.203234667725063,82.80938301406658,"Khatiguda, Nabarangapur, Odisha, India",,,6.4e-05,6.6e-05
Jharsuguda_Coalfield,21.850000381469727,84.016111,,5.8113618276937966e-05,0.0740554322692765,0.6940483418982697,22.29240090213602,83.99860289352088,"Kinjirkela, Sundargarh, Odisha, India",,,0.000194,9.6e-05
Talcher_Coalfield,20.96666717529297,85.133333,0.0,0.0091657069471018,0.1475332799714595,1.876896500657953,21.403572383453003,85.19390602154292,"Khemala, Palalahada, Angul, Odisha, India",,,0.000214,8.9e-05
Sukinda_Chromite_Mine,20.94583320617676,86.129167,,0.0,0.033498978643007,0.6305064975571651,21.391581442222872,86.16404742484984,"Mahuldiha, Mayurbhanj, Odisha, India",,,0.000111,7.7e-05
Joda_East_Iron_Ore_Mine,20.266667,85.816667,,0.0,0.0431024228451248,0.2055075909593741,20.711844961240168,85.80674045944615,"Gandia, Dhenkanal, Odisha, 759014, India",,,9.8e-05,9.6e-05
Udaipur_Zinc_Mines,24.583333,73.683333,0.0,0.0004358520874124,-0.002407514632367,0.2202019422351029,24.98586607595285,73.51174369539304,"Ghanawal, Gogunda Tehsil, Udaipur, Rajasthan, India",,,8.4e-05,6.7e-05
Neyveli_Lignite_Mine,11.533332824707031,79.483333,0.0,0.0001161486607205,0.0144580515801906,0.807392851972586,11.62945641324736,79.06788459374296,"Veppur, Cuddalore, Tamil Nadu, India",,,0.000126,6.7e-05
Singareni_Collieries_coal_mines,17.824443817138672,79.187778,0.0,0.0,-0.0016442244261141,0.8766098378634662,18.15552617774289,79.26566886029346,"Nagaram, Husnabad mandal, Siddipet, Telangana, 505467, India",,,7.1e-05,7.7e-05
Vikarabad_Limestone_Mines,17.25749969482422,77.5875015258789,0.0,2.9037165180134592e-05,-0.0041678263762066,0.3442985252236733,17.59345080758078,77.41377997685524,"SH122, Karakanahalli, Naga Idlayi Tanda, Humanabad taluku, Bidar, Karnataka, 585306, India",,,7.5e-05,6.8e-05
Adilabad_Limestone_Mines,17.0,81.80000305175781,0.0,0.0004936317518518,-0.000448915997014,0.3836087573986247,17.4180832920902,81.81378998791067,"Laddipalem, Daramadugulu, Rampachodavaram Taluk, Alluri Sitharama Raju District, Andhra Pradesh, 533288, India",,,7.6e-05,6.5e-05
Granite_Cluster,24.683333,78.416667,0.0,0.0005811361165499,-0.0069550668253352,0.302108367422585,24.822489501692395,78.04264848738225,"Khyawada, Chanderi Tahsil, Ashoknagar, Madhya Pradesh, India",,,7.7e-05,7.3e-05
Dehradun_Limestone_and_Dolomite_Mines,30.416667,79.333333,0.0,0.9230318086568096,-0.0069624870798293,0.3749144744311694,30.68306202791599,79.49955019849628,"Lambagad, Joshimath Tehsil, Chamoli, Uttarakhand, India",,,6e-05,5.4e-05
Nainital_Limestone_Mines,29.600000381469727,79.69999694824219,0.0,0.5813903492428839,-0.0030665915701093,0.4901244313310783,30.044544407411838,79.71722585016607,"Unra, Tharali, Chamoli, Uttarakhand, India",,,6.4e-05,5.7e-05
